"codigo_de_solicitante","grado_academico","especialidad","institucion_educativa","annio_de_graduacion","indice_titulo"
8640,Licenciatura,Educación Parvularia,Instituto Especializado de Educación Superior El Espíritu Santo,"2015",1
14107,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2014",1
14115,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2016",1
11955,Licenciatura,Ciencias Sociales,Universidad Modular Abierta,"2002",1
13977,Licenciatura,Ciencias de la Educación,Universidad Católica de El Salvador - Ilobasco,"2019",1
14091,Licenciatura,Letras,Universidad de El Salvador,"06/12/2013",1
8406,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2021",1
13970,Licenciatura,Ciencias de la Educación,Universidad Católica de El Salvador - Ilobasco,"2019",1
5731,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2018",1
7200,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios - regional Usulután,"2018",1
13975,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2015",1
14143,Licenciatura,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2019",1
8221,Licenciatura,Ingeniería en Sistemas,Universidad de El Salvador- Santa Ana,"2013",1
14113,Licenciatura,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2018",1
12330,Licenciatura,Idioma Inglés,Universidad de Oriente,"2018",1
8370,Licenciatura,Administración de Empresas,Universidad Modular Abierta - regional Sonsonate,"2009",1
13188,Licenciatura,Formación Pedagógica,Universidad de Oriente,"2012",1
919,Licenciatura,Letras,Universidad de El Salvador,"2011",1
12914,Profesorado,Matemática,Universidad de El Salvador- Santa Ana,"2015",1
8490,Licenciatura,Computación,Universidad Monseñor Óscar Arnulfo Romero,"2013",1
9348,Licenciatura,Ciencias Sociales,Universidad de El Salvador,"2011",1
7781,Profesorado,"Educación Básica para I, II y III Ciclos",Universidad de Sonsonate,"2012",1
4843,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2017",1
10822,Profesorado,Idioma Inglés,Universidad Pedagógica de El Salvador,"2020",1
13610,Licenciatura,Idioma Inglés,Universidad Tecnológica de El Salvador,"2018",1
14129,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2012",1
11542,Licenciatura,Ciencias de la Educación,Universidad de El Salvador,"2012",1
3469,Profesorado,Ciencias Sociales,Universidad Capitán General Gerardo Barrios,"27 de febrero del 2000",1
